"Collar","GeolFrom","GeolTo","Chk","Geology_Comment","LithLocal","LithContact","LithAbund1","LithSpec1","LithMod1","LithColorMod1","LithColor1","LithAbund2","LithSpec2","LithMod2","LithColorMod2","LithColor2","LithAbund3","LithSpec3","LithMod3","LithColorMod3","LithColor3","LithAbund4","LithSpec4","LithMod4","LithColorMod4","LithColor4","LithAbund5","LithSpec5","LithMod5","LithColorMod5","LithColor5","Lithology_Category"
"EVE-20-03","76.15","84.9","0","Metavolcanic (Rhyolite) pale orange; low sheering-foliated; Qtz + FeOx + MnOx + ArK? + Calcite veinlets. 77.50-77.70m Qtz+FeOx + Calcite veinlets.","No data","No data","No data","Metarhyolite","Sheared","Dull","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","84.9","92.25","0","Metavolcanic (Rhyolite), gray-pale orange; decrease FeOx; weak silicification, erratic Qtz + Calcite veinlets (1-5 mm wide).","No data","No data","No data","Metarhyolite","No data","Dull","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","92.25","109.25","0","Metavolcanic (Rhyolite), gray, foliated (S1=45°-60°); Deformed calcite veinlets; low (Tz) PyOx (Tz) disseminated; fresh rock, low argillic-propylitization alterations.","No data","No data","No data","Metarhyolite","Foliated","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","109.25","113.15","0","Metavolcanic (Rhyolite); weak faulted zone (50°); Calcite veinlets & disseminated; argillized  and weakly faulting rock & crushed-sheared intervals.","No data","No data","No data","Metarhyolite","Fault","Light","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","113.15","123.85","0","Fault zone, moderate-strong. Erratic calcite veinlets.","No data","No data","No data","FaultBreccia","No data","Dark","Brown","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","123.85","124.85","0","Qtz vein, brecciated texture interval, orange red color interval.","No data","No data","No data","QuartzVein","Brecciated","Dark","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","124.85","136","0","Metavolcanic (Rhyolite), gray color; lower faulted contact (60°), brecciated/autobrecciated texture; Erratic calcite veinlets.","No data","No data","No data","Metarhyolite","Brecciated","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","136","139.45","0","Metavolcanic (Rhyolite), green, porphyritic; Calcite veinlets ; fractures 65°-70°. Low fractured interval.","No data","No data","No data","Metarhyolite","Porphyritic","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","139.45","149.25","0","Metavolcanic (Rhyolite), green, brecciated and/or strongly deformed (sheered); Deformed calcite along foliation plane & cracks, 1-10 mm wide. Foliation 30°-40°. Shear zone Z folding. Andesitic fine grained  dykes interbedded  140.45-140.85 (green color) emplaced by faulting.","No data","No data","No data","Metarhyolite","Brecciated","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","149.25","153.4","0","Fault zone; Qtz + Calcite + MnOx Veinlets 30-40 cm thick, 45° & angle; (PyOx less than 1 percent).","No data","No data","No data","FaultBreccia","No data","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","153.4","161.25","0","Metavolcanic (Rhyolite); Porphyritic; erratic calcite veinlets; weak to moderate fracturing (some as foliation).","No data","No data","No data","Metarhyolite","Porphyritic","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","161.25","165.2","0","Metavolcanic (Rhyolite), brecciated; extension cracks filled with calcite; bottom plane 45° (fault?).","No data","No data","No data","Metarhyolite","Brecciated","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","165.2","174.45","0","Metavolcanic (Rhyolite), porphyritic; Calcite veinlets, foliated 45°, extension and crack filled with calcite.","No data","No data","No data","Metarhyolite","Porphyritic","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","174.45","177.95","0","Fault zone. Crushed material, moderate fracturing, only goethite, hematite decrease.","No data","No data","No data","FaultBreccia","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","177.95","185.25","0","Metavolcanic (Rhyolite), green; Low-moderate fracturing, 50°.","No data","No data","No data","Metarhyolite","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","185.25","194.25","0","Metavolcanic (Rhyolite); Moderate calcite veinlets; Cracks by extension; 193.8-194.25m, fault 60°.","No data","No data","No data","Metarhyolite","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","0","10","0","Metarhyolite, pale gray; Faulted lower contact 60°; Calcite fractures, low to erratic Qtz veinlets; White-milky Qtz fragment. Moderate fracturing,  45°-60°. At 5.80 m depth, fracture with Cu stains (chrysocolla).","No data","No data","No data","Metarhyolite","No data","Dull","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","10","13.7","0","Metarhyolite, pale gray; Jarosite rich interval; increase silicification, porphyritic texture.","No data","No data","No data","Metarhyolite","Porphyritic","Dull","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","13.7","26.9","0","Fault zone; Fresh-fine disseminated pyrite. Py + Qtz veinlets 2.4 mm thick. Mixed zone (oxide + sulfides); from 20.15 to 20.65, gouge zone (fault).","No data","No data","No data","FaultBreccia","No data","Dull","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","26.9","40.35","0","Rhyolite (metavolcanic) pale gray-white, porphyritic; Moderate Qtz+Chl+Ser stockwork (1-2mm thick). Scarce calcite, fine-fresh pyrite, disseminated. Moderate fracturing (filled with calcite+chlorite). Fault zone from 30.15 to 31.15, with narrow andesitic dike, with abundant clays (crushed-broken rock).","No data","No data","No data","Metarhyolite","Porphyritic","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","40.35","45.45","0","Metavolcanic (Rhyolite), gray, compact rock, weak fracturemet & weal stockwork; Moderate calcite + Qtz veinlets (1-2mm) chlorite rich interval.","No data","No data","No data","Metarhyolite","Stockwork","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-04","45.45","55.9","0","Metavolcanic (Rhyolite), gray; scarce stockwork Qtz + Calcite, erratic fresh Pyrite; calcite increase in open fractures/stockwork.","No data","No data","No data","Metarhyolite","Stockwork","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
